0;1;2;3;4;5;6;7;8;tabela_origem;arquivo_origem;ano_origem;9;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;35;4;1;0;12;28;40;1;2015-45-56.pdf;2015;;
Ciências Biológicas (Lic) - noturno - Bauru;40;33;3;4;0;18;22;40;1;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - integral - Bauru;40;29;5;6;0;31;9;40;1;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - noturno - Bauru;40;33;5;2;0;30;10;40;1;2015-45-56.pdf;2015;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;2;0;0;1;1;2;;2;2015-45-56.pdf;2015;;
Ciências Biológicas (Lic) - noturno - Bauru;40;5;0;2;5;2;7;;2;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - integral - Bauru;40;5;0;0;2;3;5;;2;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - noturno - Bauru;40;4;1;1;5;1;6;;2;2015-45-56.pdf;2015;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;4;0;1;1;4;5;;3;2015-45-56.pdf;2015;;
Ciências Biológicas (Lic) - noturno - Bauru;40;7;1;0;2;6;8;;3;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - integral - Bauru;40;3;0;1;2;2;4;;3;2015-45-56.pdf;2015;;
Educação Física (Bac/Lic) - noturno - Bauru;40;6;0;0;4;2;6;;3;2015-45-56.pdf;2015;;
Ciência da Computação (Bac) - integral - Bauru;30;13;4;14;-1;30;1;31;4;2015-45-56.pdf;2015;;
Engenharia Civil - integral - Bauru;60;13;22;25;0;43;17;60;4;2015-45-56.pdf;2015;;
Engenharia Elétrica - integral - Bauru;60;19;14;27;0;50;10;60;4;2015-45-56.pdf;2015;;
Engenharia Mecânica - integral - Bauru;60;15;17;28;0;54;6;60;4;2015-45-56.pdf;2015;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;60;50;2;12;-4;46;18;64;4;2015-45-56.pdf;2015;;
Matemática (Lic) - noturno - Bauru;40;31;7;5;-3;24;19;43;4;2015-45-56.pdf;2015;;
Meteorologia (Bac) - integral - Bauru;40;21;0;17;2;24;14;38;4;2015-45-56.pdf;2015;;
Bauru;;;;;;;;;4;2015-45-56.pdf;2015;;
Sistemas de Informação (Bac) - noturno - Bauru;40;27;8;5;0;28;12;40;4;2015-45-56.pdf;2015;;
Ciência da Computação (Bac) - integral - Bauru;30;0;0;0;0;0;0;;5;2015-45-56.pdf;2015;;
Engenharia Civil - integral - Bauru;60;0;0;0;0;0;0;;5;2015-45-56.pdf;2015;;
Engenharia Elétrica - integral - Bauru;60;0;1;0;1;0;1;;5;2015-45-56.pdf;2015;;
Engenharia Mecânica - integral - Bauru;60;0;0;1;1;0;1;;5;2015-45-56.pdf;2015;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno) - Bauru;60;8;0;2;7;3;10;;5;2015-45-56.pdf;2015;;
Matemática (Lic) - noturno - Bauru;40;8;4;3;6;9;15;;5;2015-45-56.pdf;2015;;
Meteorologia (Bac) - integral - Bauru;40;4;0;2;4;2;6;;5;2015-45-56.pdf;2015;;
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;0;1;3;3;1;4;;5;2015-45-56.pdf;2015;;
Sistemas de Informação (Bac) - noturno - Bauru;40;0;0;1;1;0;1;;5;2015-45-56.pdf;2015;;
Ciência da Computação (Bac) - integral - Bauru;30;4;0;4;8;0;8;;6;2015-45-56.pdf;2015;;
Engenharia Civil - integral - Bauru;60;1;5;1;4;3;7;;6;2015-45-56.pdf;2015;;
Engenharia Elétrica - integral - Bauru;60;6;2;1;9;0;9;;6;2015-45-56.pdf;2015;;
Engenharia Mecânica - integral - Bauru;60;4;1;4;8;1;9;;6;2015-45-56.pdf;2015;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno) - Bauru;60;15;1;5;13;8;21;;6;2015-45-56.pdf;2015;;
Matemática (Lic) - noturno - Bauru;40;2;1;1;2;2;4;;6;2015-45-56.pdf;2015;;
Meteorologia (Bac) - integral - Bauru;40;3;0;4;3;4;7;;6;2015-45-56.pdf;2015;;
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;7;0;2;5;4;9;;6;2015-45-56.pdf;2015;;
Sistemas de Informação (Bac) - noturno - Bauru;40;8;4;2;5;9;14;;6;2015-45-56.pdf;2015;;
Arquitetura e Urbanismo - integral - Bauru;45;21;10;14;0;17;;28;7;2015-45-56.pdf;2015;45;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;36;2;4;-2;15;;27;7;2015-45-56.pdf;2015;42;
Comunicação Social (Jornalismo) - diurno - Bauru;40;21;9;5;5;10;;25;7;2015-45-56.pdf;2015;35;
Comunicação Social (Jornalismo) - noturno - Bauru;50;39;3;5;3;25;;22;7;2015-45-56.pdf;2015;47;
