curso,vagas,convocados,lista_espera,relacao_adic,vagas_reman,masc,fem,total,metodo_ingresso,area
,,,,,,,,,convenio_se,Biológicas
,,,,,,,,,convenio_se,Biológicas
,,,,,,,,,convenio_se,Biológicas
,,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno - Ilha Solteira,50.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,50.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,25.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro - integral -,,,,,,,,,convenio_se,Biológicas
,40.0,,,,,,,,convenio_se,Biológicas
São Vicente,,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Licenciatura - noturno - Bauru,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Licenciatura - noturno - Botucatu,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biológicas - Licenciatura - noturno - São Vicente,40.0,,,,,,,,convenio_se,Biológicas
Ciências Biomédicas - integral - Botucatu,40.0,,,,,,,,convenio_se,Biológicas
Ecologia - integral - Rio Claro,30.0,,,,,,,,convenio_se,Biológicas
Educação Física - Bacharelado - integral - Bauru,20.0,,,,,,,,convenio_se,Biológicas
Educação Física - Bacharelado - noturno - Bauru,20.0,,,,,,,,convenio_se,Biológicas
Educação Física - Bacharelado e Licenciatura - integral - Presidente Prudente,45.0,,,,,,,,convenio_se,Biológicas
Educação Física - Bacharelado e Licenciatura - integral - Rio Claro,60.0,,,,,,,,convenio_se,Biológicas
Educação Física - Bacharelado e Licenciatura - vespertino/noturno - Presidente Prudente,45.0,,,,,,,,convenio_se,Biológicas
Educação Física - Licenciatura - integral - Bauru,20.0,,,,,,,,convenio_se,Biológicas
Educação Física - Licenciatura - noturno - Bauru,20.0,,,,,,,,convenio_se,Biológicas
Enfermagem - integral - Botucatu,30.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral - Botucatu,80.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral - Dracena,40.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral - Ilha Solteira,40.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral - Jaboticabal,100.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral - Registro,40.0,,,,,,,,convenio_se,Biológicas
Engenharia Agronômica - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,convenio_se,Biológicas
Engenharia de Pesca - integral - Registro,40.0,,,,,,,,convenio_se,Biológicas
Engenharia Florestal - integral - Botucatu,40.0,,,,,,,,convenio_se,Biológicas
Farmácia - integral - Araraquara,70.0,,,,,,,,convenio_se,Biológicas
Farmácia - noturno - Araraquara,30.0,,,,,,,,convenio_se,Biológicas
Fisioterapia - integral - Marília,40.0,,,,,,,,convenio_se,Biológicas
Fisioterapia - integral - Presidente Prudente,45.0,,,,,,,,convenio_se,Biológicas
Fonoaudiologia - integral - Marília,35.0,,,,,,,,convenio_se,Biológicas
Medicina - integral - Botucatu,90.0,,,,,,,,convenio_se,Biológicas
Medicina Veterinária - integral - Araçatuba,60.0,,,,,,,,convenio_se,Biológicas
Medicina Veterinária - integral - Botucatu,60.0,,,,,,,,convenio_se,Biológicas
Medicina Veterinária - integral - Jaboticabal,50.0,,,,,,,,convenio_se,Biológicas
Nutrição - vespertino/noturno - Botucatu,30.0,,,,,,,,convenio_se,Biológicas
Odontologia - integral - Araçatuba,40.0,,,,,,,,convenio_se,Biológicas
Odontologia - integral - Araraquara,75.0,,,,,,,,convenio_se,Biológicas
Odontologia - integral - São José dos Campos,40.0,,,,,,,,convenio_se,Biológicas
Odontologia - vespertino/noturno - Araçatuba,40.0,,,,,,,,convenio_se,Biológicas
Odontologia - vespertino/noturno - São José dos Campos,40.0,,,,,,,,convenio_se,Biológicas
Terapia Ocupacional - integral - Marília,40.0,,,,,,,,convenio_se,Biológicas
Zootecnia - integral - Botucatu,60.0,,,,,,,,convenio_se,Biológicas
Zootecnia - integral - Dracena,40.0,,,,,,,,convenio_se,Biológicas
Zootecnia - integral - Ilha Solteira,40.0,,,,,,,,convenio_se,Biológicas
Zootecnia - integral - Jaboticabal,50.0,,,,,,,,convenio_se,Biológicas
,,,,,,,,,isento_carente,Biológicas
,,,,,,,,,isento_carente,Biológicas
,,,,,,,,,isento_carente,Biológicas
,,,,,,,,,isento_carente,Biológicas
Ciência da Computação - Bacharelado - integral - Bauru,30.0,,,,,,,,isento_carente,Biológicas
Ciência da Computação - Bacharelado - integral - São José do Rio Preto,35.0,,,,,,,,isento_carente,Biológicas
Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,35.0,,,,,,,,isento_carente,Biológicas
Ciências da Computação - Bacharelado - integral - Rio Claro,30.0,,,,,,,,isento_carente,Biológicas
Ciências da Computação - Bacharelado - noturno - Rio Claro,30.0,,,,,,,,isento_carente,Biológicas
Engenharia Aeronáutica - integral - São João da Boa Vista,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Ambiental - integral - Presidente Prudente,35.0,,,,,,,,isento_carente,Biológicas
Engenharia Ambiental - integral - Rio Claro,30.0,,,,,,,,isento_carente,Biológicas
Engenharia Ambiental - integral - São José dos Campos,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Ambiental - integral - Sorocaba,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Biotecnológica - integral - Assis,45.0,,,,,,,,isento_carente,Biológicas
Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Civil - integral - Bauru,60.0,,,,,,,,isento_carente,Biológicas
Engenharia Civil - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Civil - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Alimentos - integral - São José do Rio Preto,30.0,,,,,,,,isento_carente,Biológicas
Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,50.0,,,,,,,,isento_carente,Biológicas
Engenharia de Biossistemas - integral - Tupã,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Controle e Automação - integral - Sorocaba,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Energia - integral - Rosana,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Materiais - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Produção - integral - Guaratinguetá,30.0,,,,,,,,isento_carente,Biológicas
Engenharia de Produção - vespertino/noturno - Bauru,40.0,,,,,,,,isento_carente,Biológicas
Engenharia de Produção - vespertino/noturno - Itapeva,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Elétrica - integral - Bauru,60.0,,,,,,,,isento_carente,Biológicas
Engenharia Elétrica - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Elétrica - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Industrial-Madeira - integral - Itapeva,40.0,,,,,,,,isento_carente,Biológicas
