,DIVULGAÇÃO,_0,_1,metodo_ingresso,area,_2,_3,VAGAS,_4,_5,_6,CURSO,CHAMADA,SEXO,MATRÍCULAS,MATRICULADOS,_7
,,CONFIRMAÇÃO,MATRÍCULA,regular,Exatas,,,,,,,,,,,,
CHAMADA,DA LISTA,,,regular,Exatas,,,,,,,,,,,,
,,DE INTERESSE,VIRTUAL,regular,Exatas,,,,,,,,,,,,
,GERAL,,,regular,Exatas,,,,,,,,,,,,
Convocação,,,,regular,Exatas,,,,,,,,,,,,
,,17 a,02 a,regular,Exatas,,,,,,,,,,,,
para Matrícula,01.02.2023,,,regular,Exatas,,,,,,,,,,,,
,,22.02.2023,07.02.2023,regular,Exatas,,,,,,,,,,,,
(12.866 nomes),,,,regular,Exatas,,,,,,,,,,,,
,2a chamada,,09 a,regular,Exatas,,,,,,,,,,,,
,,-,,regular,Exatas,,,,,,,,,,,,
Lista de Espera,09.02.2023,,13.02.2023,regular,Exatas,,,,,,,,,,,,
(14.991 nomes),3a chamada,,17 a,regular,Exatas,,,,,,,,,,,,
,,-,,regular,Exatas,,,,,,,,,,,,
,14.02.2023,,22.02.2023,regular,Exatas,,,,,,,,,,,,
CURSO,,VAGAS,,regular,Humanas,CHAMADA,,,,SEXO,,,,,,,
,,,,regular,Humanas,,RELAÇÃO,REM.,,,,,,,,,
,,,,regular,Humanas,,,,,,TOTAL,,,,,,
,,,,regular,Humanas,,ADIC.,,,,,,,,,,
,,,Conv.,regular,Humanas,L.E.,,,Masc.,Fem.,,,,,,,
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno -,,,,regular,Humanas,,,,,,,,,,,,
,,50,18,regular,Humanas,9,22,1,16,33,49,,,,,,
Ilha Solteira,,,,regular,Humanas,,,,,,,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,,40,25,regular,Humanas,6,8,1,13,26,39,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,,40,14,regular,Humanas,9,17,0,15,25,40,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,,40,13,regular,Humanas,12,13,2,13,25,38,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,,40,17,regular,Humanas,7,14,2,13,25,38,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,,50,36,regular,Humanas,8,8,-2,20,32,52,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,,40,23,regular,Humanas,10,7,0,18,22,40,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,,25,13,regular,Humanas,8,4,0,14,11,25,,,,,,
Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro,,,,regular,Humanas,,,,,,,,,,,,
,,40,23,regular,Humanas,6,11,0,19,21,40,,,,,,
- integral - São Vicente,,,,regular,Humanas,,,,,,,,,,,,
Ciências Biológicas - Licenciatura - noturno - Bauru,,40,27,regular,Humanas,10,3,0,15,25,40,,,,,,
Ciências Biológicas - Licenciatura - noturno - Botucatu,,40,25,regular,Humanas,4,10,1,14,25,39,,,,,,
Ciências Biológicas - Licenciatura - noturno - São Vicente,,40,19,regular,Humanas,7,13,1,17,22,39,,,,,,
