0,1,2,3,4,5,6,7,8
,,,MATRÍCULAS,,,MATRICULADOS,,
CURSO,VAGAS,CHAMADA,,,SEXO,,,
,,,,RELAÇÃO,,,,
,,,,,,,TOTAL,
,,,,ADIC.,,,,
,,Conv.,L.E.,,Masc.,Fem.,,
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno - Ilha Solteira,50,7,0,5,0,12,12,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,40,5,0,2,3,4,7,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,40,5,0,2,1,6,7,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,40,0,1,2,0,3,3,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,40,2,0,1,1,2,3,
Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,50,10,1,2,4,9,13,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,40,3,0,1,2,2,4,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,25,2,1,0,1,2,3,
Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro - integral,,,,,,,,
,40,1,1,2,2,2,4,
- São Vicente,,,,,,,,
Ciências Biológicas - Licenciatura - noturno - Bauru,40,5,2,1,1,7,8,
Ciências Biológicas - Licenciatura - noturno - Botucatu,40,6,0,4,3,7,10,
Ciências Biológicas - Licenciatura - noturno - São Vicente,40,2,0,4,2,4,6,
Ciências Biomédicas - integral - Botucatu,40,1,0,1,0,2,2,
Ecologia - integral - Rio Claro,30,3,0,3,0,6,6,
Educação Física - Bacharelado - integral - Bauru,20,2,1,1,2,2,4,
Educação Física - Bacharelado - noturno - Bauru,20,3,0,2,3,2,5,
Educação Física - Bacharelado e Licenciatura - integral - Presidente Prudente,45,4,0,0,1,3,4,
Educação Física - Bacharelado e Licenciatura - integral - Rio Claro,60,2,2,1,3,2,5,
Educação Física - Bacharelado e Licenciatura - vespertino/noturno - Presidente Prudente,45,2,1,1,2,2,4,
Educação Física - Licenciatura - integral - Bauru,20,3,0,0,1,2,3,
Educação Física - Licenciatura - noturno - Bauru,20,2,1,1,1,3,4,
Enfermagem - integral - Botucatu,30,1,0,4,0,5,5,
Engenharia Agronômica - integral - Botucatu,80,5,4,2,4,7,11,
