0,1,2,3,4,5,6,7,8
,,,,,VAGAS,,,
CURSO,VAGAS,,CHAMADA,,,,SEXO,
,,,,RELAÇÃO,REM.,,,
,,,,,,,,TOTAL
,,,,ADIC.,,,,
,,Conv.,L.E.,,,Masc.,Fem.,
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno -,,,,,,,,
,50,18,9,22,1,16,33,49
Ilha Solteira,,,,,,,,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,40,25,6,8,1,13,26,39
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,40,14,9,17,0,15,25,40
Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,40,13,12,13,2,13,25,38
Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,40,17,7,14,2,13,25,38
Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,50,36,8,8,-2,20,32,52
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,40,23,10,7,0,18,22,40
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,25,13,8,4,0,14,11,25
Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro,,,,,,,,
,40,23,6,11,0,19,21,40
- integral - São Vicente,,,,,,,,
Ciências Biológicas - Licenciatura - noturno - Bauru,40,27,10,3,0,15,25,40
Ciências Biológicas - Licenciatura - noturno - Botucatu,40,25,4,10,1,14,25,39
Ciências Biológicas - Licenciatura - noturno - São Vicente,40,19,7,13,1,17,22,39
Ciências Biomédicas - integral - Botucatu,40,14,7,19,0,8,32,40
Ecologia - integral - Rio Claro,30,17,1,11,1,10,19,29
Educação Física - Bacharelado - integral - Bauru,20,9,4,7,0,15,5,20
Educação Física - Bacharelado - noturno - Bauru,20,13,2,4,1,14,5,19
Educação Física - Bacharelado e Licenciatura - integral - Presidente Prudente,45,28,9,7,1,27,17,44
Educação Física - Bacharelado e Licenciatura - integral - Rio Claro,60,27,13,20,0,44,16,60
Educação Física - Bacharelado e Licenciatura - vespertino/noturno - Presidente,,,,,,,,
,45,29,6,10,0,33,12,45
Prudente,,,,,,,,
Educação Física - Licenciatura - integral - Bauru,20,10,3,7,0,12,8,20
Educação Física - Licenciatura - noturno - Bauru,20,11,3,6,0,10,10,20
Enfermagem - integral - Botucatu,30,8,3,17,2,6,22,28
Engenharia Agronômica - integral - Botucatu,80,29,22,29,0,56,24,80
Engenharia Agronômica - integral - Dracena,40,29,4,5,2,20,18,38
Engenharia Agronômica - integral - Ilha Solteira,40,27,7,4,2,24,14,38
Engenharia Agronômica - integral - Jaboticabal,100,62,25,13,0,69,31,100
Engenharia Agronômica - integral - Registro,40,20,9,16,-5,27,18,45
Engenharia Agronômica - integral (com ingresso no meio do ano) - Ilha Solteira,40,35,1,4,0,27,13,40
Engenharia de Pesca - integral - Registro,40,7,0,0,33,5,2,7
Engenharia Florestal - integral - Botucatu,40,20,7,11,2,18,20,38
Farmácia - integral - Araraquara,70,21,13,36,0,21,49,70
Farmácia - noturno - Araraquara,30,12,9,9,0,9,21,30
Fisioterapia - integral - Marília,40,16,6,10,8,6,26,32
Fisioterapia - integral - Presidente Prudente,45,29,10,6,0,17,28,45
Fonoaudiologia - integral - Marília,35,7,9,17,2,0,33,33
Medicina - integral - Botucatu,90,27,21,42,0,41,49,90
Medicina Veterinária - integral - Araçatuba,60,42,7,11,0,14,46,60
Medicina Veterinária - integral - Botucatu,60,34,13,13,0,16,44,60
Medicina Veterinária - integral - Jaboticabal,50,35,10,5,0,15,35,50
Nutrição - vespertino/noturno - Botucatu,30,6,9,14,1,10,19,29
Odontologia - integral - Araçatuba,40,18,11,11,0,15,25,40
Odontologia - integral - Araraquara,75,26,25,24,0,15,60,75
Odontologia - integral - São José dos Campos,40,14,13,13,0,14,26,40
Odontologia - vespertino/noturno - Araçatuba,40,20,6,14,0,16,24,40
Odontologia - vespertino/noturno - São José dos Campos,40,20,9,11,0,9,31,40
Terapia Ocupacional - integral - Marília,40,27,5,8,0,2,38,40
Zootecnia - integral - Botucatu,60,39,12,9,0,26,34,60
Zootecnia - integral - Dracena,40,20,0,19,1,17,22,39
Zootecnia - integral - Ilha Solteira,40,16,7,11,6,13,21,34
Zootecnia - integral - Jaboticabal,50,32,12,5,1,18,31,49
TOTAL,2210,1109,429,608,64,906,1240,2146
| 48 |,,,,,,,,
CURSO,VAGAS,CHAMADA,,,SEXO,,,
,,,,RELAÇÃO,,,,
,,,,,,,TOTAL,
,,,,ADIC.,,,,
,,Conv.,L.E.,,Masc.,Fem.,,
Ciências Biológicas - Bacharelado - Vespertino/Noturno e Licenciatura - noturno - Ilha Solteira,50,0,2,1,1,2,3,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Assis,40,3,3,0,3,3,6,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru,40,2,0,1,2,1,3,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Botucatu,40,4,0,0,3,1,4,
Ciências Biológicas - Bacharelado e Licenciatura - integral - Rio Claro,40,2,1,1,1,3,4,
Ciências Biológicas - Bacharelado e Licenciatura - integral - São José do Rio Preto,50,2,0,0,0,2,2,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Jaboticabal,40,5,0,1,4,2,6,
Ciências Biológicas - Bacharelado e Licenciatura - noturno - Rio Claro,25,2,0,0,1,1,2,
Ciências Biológicas - Bacharelado em Biologia Marinha ou Gerenciamento Costeiro - integral -,,,,,,,,
,40,3,0,1,1,3,4,
São Vicente,,,,,,,,
Ciências Biológicas - Licenciatura - noturno - Bauru,40,4,1,1,2,4,6,
Ciências Biológicas - Licenciatura - noturno - Botucatu,40,4,0,3,3,4,7,
Ciências Biológicas - Licenciatura - noturno - São Vicente,40,1,0,1,1,1,2,
Ciências Biomédicas - integral - Botucatu,40,1,0,5,2,4,6,
Ecologia - integral - Rio Claro,30,0,0,3,1,2,3,
Educação Física - Bacharelado - integral - Bauru,20,0,0,1,1,0,1,
Educação Física - Bacharelado - noturno - Bauru,20,3,1,1,4,1,5,
Educação Física - Bacharelado e Licenciatura - integral - Presidente Prudente,45,2,1,0,2,1,3,
Educação Física - Bacharelado e Licenciatura - integral - Rio Claro,60,4,2,2,6,2,8,
Educação Física - Bacharelado e Licenciatura - vespertino/noturno - Presidente Prudente,45,2,1,2,3,2,5,
Educação Física - Licenciatura - integral - Bauru,20,3,1,1,4,1,5,
Educação Física - Licenciatura - noturno - Bauru,20,1,1,1,0,3,3,
Enfermagem - integral - Botucatu,30,0,1,1,1,1,2,
Engenharia Agronômica - integral - Botucatu,80,4,4,7,10,5,15,
Engenharia Agronômica - integral - Dracena,40,8,1,2,7,4,11,
Engenharia Agronômica - integral - Ilha Solteira,40,4,0,1,3,2,5,
Engenharia Agronômica - integral - Jaboticabal,100,14,4,1,11,8,19,
Engenharia Agronômica - integral - Registro,40,4,2,3,2,7,9,
Engenharia Agronômica - integral (com ingresso no meio do ano) - Ilha Solteira,40,5,0,1,4,2,6,
Engenharia de Pesca - integral - Registro,40,0,0,0,0,0,0,
Engenharia Florestal - integral - Botucatu,40,3,1,2,2,4,6,
Farmácia - integral - Araraquara,70,5,1,4,2,8,10,
Farmácia - noturno - Araraquara,30,0,1,0,1,0,1,
Fisioterapia - integral - Marília,40,4,1,2,2,5,7,
Fisioterapia - integral - Presidente Prudente,45,2,1,0,1,2,3,
