0,1,2,3,4,5,6,7,8
CURSO,VAGAS,,CHAMADA,,,SEXO,,
,,,,RELAÇÃO,,,,
,,,,,,,,TOTAL
,,,,ADIC.,,,,
,,Conv.,L.E.,,Masc.,,Fem.,
Administração - Bacharelado - integral - Tupã,40,1,0,0,1,,0,1
Administração - Bacharelado - noturno - Jaboticabal,40,0,1,0,1,,0,1
Administração - Bacharelado - noturno - Tupã,40,1,0,0,0,,1,1
Administração Pública - Bacharelado - integral - Araraquara,50,5,0,0,3,,2,5
Administração Pública - Bacharelado - noturno - Araraquara,50,4,0,1,2,,3,5
Arquitetura e Urbanismo - integral - Bauru,45,4,0,1,2,,3,5
Arquitetura e Urbanismo - integral - Presidente Prudente,40,2,0,0,1,,1,2
Arquivologia - matutino - Marília,30,0,0,0,0,,0,0
Artes Cênicas - Bacharelado - Habilitação em Interpretação Teatral - integral - São,,,,,,,,
,30,1,0,0,0,,1,1
Paulo,,,,,,,,
Artes Visuais - Bacharelado e Licenciatura - integral - São Paulo,40,1,0,0,1,,0,1
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru,40,3,1,0,0,,4,4
Arte-Teatro - Licenciatura - noturno - São Paulo,30,1,0,0,1,,0,1
Biblioteconomia - matutino - Marília,35,0,0,0,0,,0,0
Ciências Econômicas - Bacharelado - integral - Araraquara,50,0,0,3,2,,1,3
Ciências Econômicas - Bacharelado - noturno - Araraquara,50,0,0,4,2,,2,4
Ciências Sociais - Bacharelado e Licenciatura - matutino - Araraquara,50,2,3,1,1,,5,6
Ciências Sociais - Bacharelado e Licenciatura - matutino - Marília,50,4,0,1,1,,4,5
Ciências Sociais - Bacharelado e Licenciatura - noturno - Araraquara,50,2,1,1,1,,3,4
Ciências Sociais - Bacharelado e Licenciatura - noturno - Marília,50,4,2,0,3,,3,6
"Comunicação: Rádio, Televisão e Internet - integral - Bauru",30,0,0,0,0,,0,0
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru,60,4,0,2,1,,5,6
Design (Design Gráﬁ co) - integral - Bauru,30,5,0,1,1,,5,6
Direito - matutino - Franca,60,0,1,2,0,,3,3
Direito - noturno - Franca,60,3,1,3,4,,3,7
Filosoﬁ a - Bacharelado e Licenciatura - noturno - Marília,35,2,0,1,1,,2,3
Geograﬁ a - Bacharelado e Licenciatura - integral - Rio Claro,40,3,0,2,3,,2,5
Geograﬁ a - Bacharelado e Licenciatura - matutino - Ourinhos,40,0,0,0,0,,0,0
Geograﬁ a - Bacharelado e Licenciatura - matutino - Presidente Prudente,40,2,0,1,2,,1,3
Geograﬁ a - Bacharelado e Licenciatura - noturno - Ourinhos,40,3,0,0,1,,2,3
Geograﬁ a - Bacharelado e Licenciatura - noturno - Presidente Prudente,45,1,0,0,1,,0,1
Geograﬁ a - Licenciatura - noturno - Rio Claro,40,4,0,1,0,,5,5
História - Bacharelado e Licenciatura - matutino - Franca,50,5,1,2,3,,5,8
História - Bacharelado e Licenciatura - noturno - Franca,50,4,0,0,3,,1,4
História - Licenciatura - matutino - Assis,45,4,0,1,0,,5,5
História - Licenciatura - noturno - Assis,45,7,2,0,4,,5,9
Jornalismo - matutino - Bauru,40,3,1,1,0,,5,5
Jornalismo - noturno - Bauru,50,6,0,1,3,,4,7
Letras - Bacharelado e Licenciatura - matutino - Araraquara,60,4,1,3,2,,6,8
Letras - Bacharelado e Licenciatura - noturno - Araraquara,60,4,1,0,3,,2,5
Letras - Licenciatura - integral - São José do Rio Preto,34,1,0,0,1,,0,1
Letras - Licenciatura - matutino - Assis,70,3,0,3,2,,4,6
Letras - Licenciatura - noturno - Assis,70,7,0,3,0,,10,10
Letras - Licenciatura - noturno - São José do Rio Preto,39,4,0,1,3,,2,5
Letras-Tradução - Bacharelado - integral - São José do Rio Preto,32,5,0,0,0,,5,5
