0,1,2,3,4,5,6,7,8,9
CURSO,VAGAS,CHAMADA,,,SEXO,,,,
,,,,RELAÇÃO,,,,,
,,,,,,,TOTAL,,
,,,,ADIC.,,,,,
,,Conv.,L.E.,,Masc.,Fem.,,,
Ciência da Computação - Bacharelado - integral - Bauru,30,0,0,0,0,0,0,,
Ciência da Computação - Bacharelado - integral - São José do Rio Preto,35,0,1,0,1,0,1,,
Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,35,1,0,2,2,1,3,,
Ciências da Computação - Bacharelado - integral - Rio Claro,30,0,0,2,2,0,2,,
Ciências da Computação - Bacharelado - noturno - Rio Claro,30,0,0,1,1,0,1,,
Engenharia Aeronáutica - integral - São João da Boa Vista,40,1,1,3,4,1,5,,
Engenharia Ambiental - integral - Presidente Prudente,35,2,0,2,2,2,4,,
Engenharia Ambiental - integral - Rio Claro,30,2,0,0,0,2,2,,
Engenharia Ambiental - integral - São José dos Campos,40,3,0,3,1,5,6,,
Engenharia Ambiental - integral - Sorocaba,40,2,0,0,0,2,2,,
Engenharia Biotecnológica - integral - Assis,45,2,0,0,2,0,2,,
Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,40,2,0,1,3,0,3,,
Engenharia Civil - integral - Bauru,60,4,2,2,4,4,8,,
Engenharia Civil - integral - Guaratinguetá,40,3,0,1,1,3,4,,
Engenharia Civil - integral - Ilha Solteira,40,7,1,1,5,4,9,,
Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,40,6,0,1,5,2,7,,
Engenharia de Alimentos - integral - São José do Rio Preto,30,0,1,0,0,1,1,,
Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,40,3,1,1,1,4,5,,
Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,50,1,0,0,1,0,1,,
Engenharia de Biossistemas - integral - Tupã,40,4,0,0,2,2,4,,
Engenharia de Controle e Automação - integral - Sorocaba,40,1,0,0,1,0,1,,
Engenharia de Energia - integral - Rosana,40,2,0,0,2,0,2,,
Engenharia de Materiais - integral - Guaratinguetá,40,0,1,0,1,0,1,,
Engenharia de Produção - integral - Guaratinguetá,30,0,0,0,0,0,0,,
Engenharia de Produção - vespertino/noturno - Bauru,40,1,2,1,2,2,4,,
Engenharia de Produção - vespertino/noturno - Itapeva,40,3,1,0,1,3,4,,
Engenharia Elétrica - integral - Bauru,60,2,4,1,7,0,7,,
Engenharia Elétrica - integral - Guaratinguetá,40,1,1,0,2,0,2,,
Engenharia Elétrica - integral - Ilha Solteira,40,3,1,0,4,0,4,,
Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,40,4,0,0,3,1,4,,
Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,40,1,0,0,1,0,1,,
Engenharia Industrial-Madeira - integral - Itapeva,40,1,0,1,1,1,2,,
Engenharia Mecânica - integral - Bauru,60,2,1,4,7,0,7,,
Engenharia Mecânica - integral - Guaratinguetá,60,0,0,0,0,0,0,,
Engenharia Mecânica - integral - Ilha Solteira,40,4,0,2,4,2,6,,
Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,40,4,0,0,0,4,4,,
Engenharia Mecânica - noturno - Guaratinguetá,30,1,1,1,1,2,3,,
Engenharia Química - integral - Araraquara,40,1,1,5,5,2,7,,
Estatística - integral - Presidente Prudente,30,2,0,2,3,1,4,,
Física - Bacharelado e Licenciatura - integral - Rio Claro,40,3,0,0,2,1,3,,
Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,40,2,0,0,2,0,2,,
Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio Preto,50,1,0,0,1,0,1,,
Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física -,,,,,,,,,
,60,9,0,1,5,5,10,,
noturno - Bauru,,,,,,,,,
Física - Licenciatura - noturno - Ilha Solteira,30,1,0,0,1,0,1,,
Física - Licenciatura - noturno - Presidente Prudente,30,3,0,0,2,1,3,,
Física Médica - integral - Botucatu,40,3,1,0,0,4,4,,
Geologia - integral - Rio Claro,35,1,0,0,0,1,1,,
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,40,0,0,0,0,0,0,,
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,55,2,0,2,1,3,4,,
