0,1,2,3,4,5,6,7
CURSO,VAGAS,CHAMADA,,,SEXO,,
,,,,RELAÇÃO,,,
,,,,,,,TOTAL
,,,,ADIC.,,,
,,Conv.,L.E.,,Masc.,Fem.,
Administração - Bacharelado - integral - Tupã,40,1,1,0,1,1,2
Administração - Bacharelado - noturno - Jaboticabal,40,1,5,2,0,8,8
Administração - Bacharelado - noturno - Tupã,40,2,2,0,1,3,4
Administração Pública - Bacharelado - integral - Araraquara,50,3,0,0,2,1,3
Administração Pública - Bacharelado - noturno - Araraquara,50,4,1,0,1,4,5
Arquitetura e Urbanismo - integral - Bauru,45,3,0,1,0,4,4
Arquitetura e Urbanismo - integral - Presidente Prudente,40,2,0,0,1,1,2
Arquivologia - matutino - Marília,30,0,0,0,0,0,0
Artes Cênicas - Bacharelado - Habilitação em Interpretação Teatral - integral - São Paulo,30,3,2,0,3,2,5
Artes Visuais - Bacharelado e Licenciatura - integral - São Paulo,40,6,1,0,2,5,7
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru,40,4,0,1,2,3,5
Arte-Teatro - Licenciatura - noturno - São Paulo,30,5,1,0,1,5,6
Biblioteconomia - matutino - Marília,35,3,1,0,0,4,4
Ciências Econômicas - Bacharelado - integral - Araraquara,50,0,0,3,2,1,3
Ciências Econômicas - Bacharelado - noturno - Araraquara,50,3,0,1,3,1,4
Ciências Sociais - Bacharelado e Licenciatura - matutino - Araraquara,50,3,1,0,2,2,4
Ciências Sociais - Bacharelado e Licenciatura - matutino - Marília,50,11,0,0,5,6,11
Ciências Sociais - Bacharelado e Licenciatura - noturno - Araraquara,50,7,5,1,8,5,13
Ciências Sociais - Bacharelado e Licenciatura - noturno - Marília,50,7,1,1,2,7,9
"Comunicação: Rádio, Televisão e Internet - integral - Bauru",30,1,0,1,1,1,2
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru,60,5,2,0,1,6,7
Design (Design Gráﬁ co) - integral - Bauru,30,2,0,0,1,1,2
Direito - matutino - Franca,60,2,0,3,1,4,5
Direito - noturno - Franca,60,4,1,1,0,6,6
Filosoﬁ a - Bacharelado e Licenciatura - noturno - Marília,35,4,1,1,5,1,6
Geograﬁ a - Bacharelado e Licenciatura - integral - Rio Claro,40,0,0,1,1,0,1
Geograﬁ a - Bacharelado e Licenciatura - matutino - Ourinhos,40,1,0,0,1,0,1
Geograﬁ a - Bacharelado e Licenciatura - matutino - Presidente Prudente,40,5,0,1,3,3,6
Geograﬁ a - Bacharelado e Licenciatura - noturno - Ourinhos,40,3,0,0,3,0,3
Geograﬁ a - Bacharelado e Licenciatura - noturno - Presidente Prudente,45,8,0,1,6,3,9
Geograﬁ a - Licenciatura - noturno - Rio Claro,40,3,0,0,3,0,3
História - Bacharelado e Licenciatura - matutino - Franca,50,3,0,1,2,2,4
História - Bacharelado e Licenciatura - noturno - Franca,50,0,2,4,4,2,6
História - Licenciatura - matutino - Assis,45,5,0,0,1,4,5
História - Licenciatura - noturno - Assis,45,4,3,0,3,4,7
Jornalismo - matutino - Bauru,40,0,0,1,1,0,1
Jornalismo - noturno - Bauru,50,2,1,0,1,2,3
Letras - Bacharelado e Licenciatura - matutino - Araraquara,60,1,1,4,2,4,6
Letras - Bacharelado e Licenciatura - noturno - Araraquara,60,7,1,0,1,7,8
Letras - Licenciatura - integral - São José do Rio Preto,34,5,0,1,2,4,6
Letras - Licenciatura - matutino - Assis,70,4,0,3,0,7,7
Letras - Licenciatura - noturno - Assis,70,13,0,4,8,9,17
Letras - Licenciatura - noturno - São José do Rio Preto,39,5,1,1,1,6,7
Letras-Tradução - Bacharelado - integral - São José do Rio Preto,32,2,0,0,0,2,2
