0,1,2,3,4,5,6,7
CURSO,VAGAS,CHAMADA,,,SEXO,,
,,,,RELAÇÃO,,,
,,,,,,,TOTAL
,,,,ADIC.,,,
,,Conv.,L.E.,,Masc.,Fem.,
Licenciatura em Música - integral - São Paulo,22,2,5,0,3,4,7
Música - Bacharelado - Habilitação em Canto - integral - São Paulo,5,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Composição - integral - São Paulo,10,2,0,0,2,0,2
"Música - Bacharelado - Habilitação em Instrumento: Cordas (Contrabaixo Acústico, Viola,",,,,,,,
,12,0,0,0,0,0,0
"Violino, Violoncelo) - integral - São Paulo",,,,,,,
Música - Bacharelado - Habilitação em Instrumento: Percussão - integral - São Paulo,4,0,0,0,0,0,0
"Música - Bacharelado - Habilitação em Instrumento: Sopros (Clarineta, Flauta, Instrumento",,,,,,,
,10,0,0,0,0,0,0
"Antigo - Flauta Doce, Oboé) - integral - São Paulo",,,,,,,
Música - Bacharelado - Habilitação em Instrumento: Teclados - integral - São Paulo,8,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Instrumento: Violão - integral - São Paulo,4,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Regência - integral - São Paulo,10,0,0,0,0,0,0
Pedagogia - Licenciatura - matutino - Marília,40,4,0,1,0,5,5
Pedagogia - Licenciatura - noturno - Araraquara,50,6,3,0,1,8,9
Pedagogia - Licenciatura - noturno - Bauru,40,7,0,0,1,6,7
Pedagogia - Licenciatura - noturno - Marília,80,11,0,1,3,9,12
Pedagogia - Licenciatura - noturno - Presidente Prudente,45,9,2,1,1,11,12
Pedagogia - Licenciatura - noturno - Rio Claro,45,2,0,0,0,2,2
Pedagogia - Licenciatura - noturno - São José do Rio Preto,40,3,1,0,0,4,4
Pedagogia - Licenciatura - vespertino - Araraquara,50,2,0,7,1,8,9
Pedagogia - Licenciatura - vespertino - Presidente Prudente,35,6,0,1,0,7,7
Psicologia - integral - Assis,45,4,2,0,1,5,6
Psicologia - integral - Bauru,35,1,0,0,0,1,1
Psicologia - noturno - Bauru,35,0,0,0,0,0,0
Psicologia - vespertino/noturno - Assis,45,2,2,0,2,2,4
Relações Internacionais - noturno - Franca,50,3,2,1,3,3,6
Relações Internacionais - noturno - Marília,40,3,1,0,0,4,4
Relações Internacionais - vespertino - Franca,50,4,0,1,1,4,5
Relações Públicas - noturno - Bauru,50,7,3,0,5,5,10
Serviço Social - matutino - Franca,40,3,0,0,0,3,3
Serviço Social - noturno - Franca,50,7,0,5,1,11,12
Turismo - integral - Rosana,40,2,0,0,1,1,2
TOTAL,2965,247,55,56,114,244,358
