0,1,2,3,4,5,6,7
continuação...,,,,,,,
,,,MATRÍCULAS,,,MATRICULADOS,
CURSO,VAGAS,CHAMADA,,,,SEXO,
,,,,RELAÇÃO,,,
,,,,,,,TOTAL
,,,,ADIC.,,,
,,Conv.,L.E.,,Masc.,Fem.,
Licenciatura em Música - integral - São Paulo,22,1,1,0,1,1,2
Música - Bacharelado - Habilitação em Canto - integral - São Paulo,5,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Composição - integral - São Paulo,10,0,0,0,0,0,0
"Música - Bacharelado - Habilitação em Instrumento: Cordas (Contrabaixo Acústico,",,,,,,,
,12,0,0,0,0,0,0
"Viola, Violino, Violoncelo) - integral - São Paulo",,,,,,,
Música - Bacharelado - Habilitação em Instrumento: Percussão - integral - São Paulo,4,0,0,0,0,0,0
"Música - Bacharelado - Habilitação em Instrumento: Sopros (Clarineta, Flauta, Instru-",,,,,,,
,10,0,0,0,0,0,0
"mento Antigo - Flauta Doce, Oboé) - integral - São Paulo",,,,,,,
Música - Bacharelado - Habilitação em Instrumento: Teclados - integral - São Paulo,8,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Instrumento: Violão - integral - São Paulo,4,0,0,0,0,0,0
Música - Bacharelado - Habilitação em Regência - integral - São Paulo,10,0,0,0,0,0,0
Pedagogia - Licenciatura - matutino - Marília,40,1,0,0,0,1,1
Pedagogia - Licenciatura - noturno - Araraquara,50,3,1,0,0,4,4
Pedagogia - Licenciatura - noturno - Bauru,40,2,1,0,1,2,3
Pedagogia - Licenciatura - noturno - Marília,80,3,0,2,0,5,5
Pedagogia - Licenciatura - noturno - Presidente Prudente,45,5,2,1,0,8,8
Pedagogia - Licenciatura - noturno - Rio Claro,45,4,3,1,0,8,8
Pedagogia - Licenciatura - noturno - São José do Rio Preto,40,3,1,1,0,5,5
Pedagogia - Licenciatura - vespertino - Araraquara,50,4,0,1,0,5,5
Pedagogia - Licenciatura - vespertino - Presidente Prudente,35,2,0,2,0,4,4
Psicologia - integral - Assis,45,1,2,0,1,2,3
Psicologia - integral - Bauru,35,1,1,0,2,0,2
Psicologia - noturno - Bauru,35,3,0,1,3,1,4
Psicologia - vespertino/noturno - Assis,45,1,1,0,0,2,2
Relações Internacionais - noturno - Franca,50,1,0,2,2,1,3
Relações Internacionais - noturno - Marília,40,4,0,3,4,3,7
Relações Internacionais - vespertino - Franca,50,2,1,1,0,4,4
Relações Públicas - noturno - Bauru,50,2,1,1,1,3,4
Serviço Social - matutino - Franca,40,0,0,3,0,3,3
Serviço Social - noturno - Franca,50,1,0,0,1,0,1
Turismo - integral - Rosana,40,2,0,0,0,2,2
TOTAL,2965,165,31,59,76,179,255
