;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;;;
Curso;M;H;T;M;H;T;M;H;T;M;H;T;M;H;T;M;H;T;M;H;T;M;H;T;;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;0;0;0;34;11;45;24;15;39;26;24;50;0;0;0;15;11;26;41;16;57;31;8;39;;;
Ciências Biológicas (Lic) - noturno - Bauru;10;7;17;12;6;18;20;14;34;14;15;29;29;7;36;16;12;28;19;6;25;12;3;15;;;
Educação Física (Bac/Lic) - integral - Bauru;9;18;27;11;22;33;5;14;19;11;18;29;8;25;33;8;11;19;10;21;31;10;21;31;;;
Educação Física (Bac/Lic) - noturno - Bauru;9;10;19;13;10;23;19;17;36;15;21;36;10;14;24;5;13;18;17;14;31;8;19;27;;;
Ciência da Computação (Bac) - integral - Bauru;2;15;17;5;16;21;2;16;18;4;19;23;1;25;26;4;16;20;3;17;20;5;27;32;;;
Engenharia Civil - integral - Bauru;14;31;45;16;28;44;17;35;52;14;27;41;23;36;59;22;43;65;21;36;57;19;35;54;;;
Engenharia Elétrica - integral - Bauru;2;29;31;4;31;35;4;31;35;8;33;41;14;58;72;5;31;36;2;40;42;9;26;35;;;
Engenharia Mecânica - integral - Bauru;4;28;32;7;35;42;7;37;44;7;43;50;7;47;54;4;39;43;8;35;43;5;61;66;;;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno)  - Bauru;1;4;5;0;0;0;2;8;10;6;17;23;7;17;24;4;15;19;2;20;22;11;15;26;;;
Matemática (Lic) - noturno - Bauru;9;10;19;11;6;17;8;6;14;14;11;25;10;5;15;11;4;15;18;12;30;3;7;10;;;
Meteorologia (Bac) - integral - Bauru;0;0;0;3;6;9;2;4;6;5;11;16;4;7;11;6;6;12;12;5;17;3;6;9;;;
Química - Bacharelado em Química Ambiental Tecnológica e Licenciatura em Química - noturno - Bauru;0;0;0;12;11;23;9;10;19;13;12;25;21;19;40;20;14;34;15;19;34;19;13;32;;;
Sistemas de Informação (Bac) - noturno - Bauru;5;16;21;5;14;19;7;25;32;9;9;18;8;13;21;3;17;20;4;14;18;4;22;26;;;
Arquitetura e Urbanismo - integral - Bauru;25;4;29;14;6;20;26;9;35;43;14;57;27;17;44;23;10;33;22;17;39;33;19;52;;;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;8;2;10;12;5;17;17;6;23;7;5;12;22;13;35;13;3;16;28;7;35;23;9;32;;;
Comunicação Social (Jornalismo) - diurno - Bauru;30;8;38;16;6;22;24;17;41;20;11;31;0;0;0;24;10;34;12;2;14;20;2;22;;;
Comunicação Social (Jornalismo) - noturno - Bauru;25;22;47;24;15;39;24;15;39;23;19;42;0;0;0;22;18;40;8;7;15;23;17;40;;;
Comunicação Social (Radialismo) - diurno - Bauru;15;14;29;0;0;0;0;0;0;0;0;0;14;5;19;10;3;13;5;6;11;15;10;25;;;
Comunicação Social (Relações Públicas) - noturno - Bauru;35;4;39;40;12;52;32;6;38;0;0;0;0;0;0;24;10;34;24;9;33;41;16;57;;;
Design (Design Gráfico ou de Produto) - noturno - Bauru;18;16;34;34;30;64;32;37;69;35;31;66;19;17;36;18;28;46;21;19;40;16;25;41;;;
Design (Design Gráfico) - diurno - Bauru;0;0;0;15;10;25;18;11;29;12;19;31;0;0;0;12;12;24;13;8;21;11;5;16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
