0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem;8
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;2;0;0;1;1;2;2;2015-45-56.pdf;2015;
Ciências Biológicas (Lic) - noturno - Bauru;40;5;0;2;5;2;7;2;2015-45-56.pdf;2015;
Educação Física (Bac/Lic) - integral - Bauru;40;5;0;0;2;3;5;2;2015-45-56.pdf;2015;
Educação Física (Bac/Lic) - noturno - Bauru;40;4;1;1;5;1;6;2;2015-45-56.pdf;2015;
Ciência da Computação (Bac) - integral - Bauru;30;0;0;0;0;0;0;5;2015-45-56.pdf;2015;
Engenharia Civil - integral - Bauru;60;0;0;0;0;0;0;5;2015-45-56.pdf;2015;
Engenharia Elétrica - integral - Bauru;60;0;1;0;1;0;1;5;2015-45-56.pdf;2015;
Engenharia Mecânica - integral - Bauru;60;0;0;1;1;0;1;5;2015-45-56.pdf;2015;
Física (Lic - noturno) / (Bac em Física de Materiais - vespertino/noturno) - Bauru;60;8;0;2;7;3;10;5;2015-45-56.pdf;2015;
Matemática (Lic) - noturno - Bauru;40;8;4;3;6;9;15;5;2015-45-56.pdf;2015;
Meteorologia (Bac) - integral - Bauru;40;4;0;2;4;2;6;5;2015-45-56.pdf;2015;
Química (Bac em Química Ambiental Tecnológica / Lic em Química) - noturno - Bauru;40;0;1;3;3;1;4;5;2015-45-56.pdf;2015;
Sistemas de Informação (Bac) - noturno - Bauru;40;0;0;1;1;0;1;5;2015-45-56.pdf;2015;
Pedagogia (Lic) - noturno - Bauru;40;5;0;0;0;5;5;9;2015-45-56.pdf;2015;
Psicologia - integral - Bauru;35;1;1;2;1;3;4;9;2015-45-56.pdf;2015;
Psicologia - noturno - Bauru;35;0;0;0;0;0;0;9;2015-45-56.pdf;2015;
Arquitetura e Urbanismo - integral - Bauru;45;1;0;0;1;0;1;10;2015-45-56.pdf;2015;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;5;0;0;3;2;5;10;2015-45-56.pdf;2015;
Comunicação Social (Jornalismo) - diurno - Bauru;40;2;0;0;1;1;2;10;2015-45-56.pdf;2015;
Comunicação Social (Jornalismo) - noturno - Bauru;50;2;0;0;0;2;2;10;2015-45-56.pdf;2015;
Comunicação Social (Radialismo) - diurno - Bauru;30;0;0;1;0;1;1;10;2015-45-56.pdf;2015;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;3;0;2;0;5;5;10;2015-45-56.pdf;2015;
